Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,ed8u0000.wav,wav,0.20,48000,16,1,-15.59,-6.06
Dialogue,y8_b001.ogg,ogg,131.10,48000,32,2,-16.98,-2.93
Dialogue,y8_b002.ogg,ogg,112.98,48000,32,2,-17.36,-5.46
Dialogue,y8_b003.ogg,ogg,105.91,48000,32,2,-17.58,-2.86
Dialogue,y8_b004.ogg,ogg,162.50,48000,32,2,-17.41,-1.44
Dialogue,y8_b005.ogg,ogg,129.98,48000,32,2,-17.63,-1.73
Dialogue,y8_b006.ogg,ogg,172.96,48000,32,2,-17.06,-1.93
Dialogue,y8_b007.ogg,ogg,118.56,48000,32,2,-17.09,-5.33
Dialogue,y8_b008.ogg,ogg,114.34,48000,32,2,-17.36,-4.96
Dialogue,y8_b009.ogg,ogg,117.76,48000,32,2,-16.29,-4.94
Dialogue,y8_b010.ogg,ogg,144.21,48000,32,2,-16.05,-4.04
Dialogue,y8_b011.ogg,ogg,113.32,48000,32,2,-16.29,-5.21
Dialogue,y8_d101.ogg,ogg,152.32,48000,32,2,-18.23,-1.05
Dialogue,y8_d201.ogg,ogg,105.00,48000,32,2,-18.48,-1.68
Dialogue,y8_d301.ogg,ogg,118.56,48000,32,2,-17.39,-1.92
Dialogue,y8_d401.ogg,ogg,158.42,48000,32,2,-17.92,-3.43
Dialogue,y8_d501.ogg,ogg,143.91,48000,32,2,-18.17,-1.55
Dialogue,y8_d502.ogg,ogg,104.28,48000,32,2,-17.93,-6.07
Dialogue,y8_d503.ogg,ogg,129.87,48000,32,2,-18.10,-2.26
Dialogue,y8_d601.ogg,ogg,144.40,48000,32,2,-18.41,-1.58
Dialogue,y8_d701.ogg,ogg,138.39,48000,32,2,-17.35,-2.21
Dialogue,y8_d801.ogg,ogg,136.73,48000,32,2,-17.30,-0.19
Dialogue,y8_d901.ogg,ogg,124.72,48000,32,2,-18.55,-2.31
Dialogue,y8_d902.ogg,ogg,96.83,48000,32,2,-19.71,-2.18
Dialogue,y8_d903.ogg,ogg,99.85,48000,32,2,-18.96,-0.75
Dialogue,y8_d904.ogg,ogg,68.48,48000,32,2,-24.65,-3.62
Dialogue,y8_d910.ogg,ogg,122.20,48000,32,2,-19.26,-1.62
Dialogue,y8_d911.ogg,ogg,152.28,48000,32,2,-18.05,-3.30
Dialogue,y8_d912.ogg,ogg,158.31,48000,32,2,-18.13,-5.60
Dialogue,y8_d920.ogg,ogg,133.80,48000,32,2,-17.84,-5.79
Dialogue,y8_e001.ogg,ogg,104.17,48000,32,2,-20.19,-4.02
Dialogue,y8_e002.ogg,ogg,116.40,48000,32,2,-22.21,-3.34
Dialogue,y8_e003.ogg,ogg,131.78,48000,32,2,-17.51,-1.34
Dialogue,y8_e004.ogg,ogg,96.15,48000,32,2,-18.78,-0.94
Dialogue,y8_e005.ogg,ogg,119.91,48000,32,2,-22.08,-1.17
Dialogue,y8_e007.ogg,ogg,75.05,48000,32,2,-19.08,-1.50
Dialogue,y8_e008.ogg,ogg,100.79,48000,32,2,-19.64,-3.72
Dialogue,y8_e010.ogg,ogg,64.10,48000,32,2,-19.99,-1.25
Dialogue,y8_e011.ogg,ogg,98.41,48000,32,2,-17.48,-0.99
Dialogue,y8_e012.ogg,ogg,113.58,48000,32,2,-19.40,-1.35
Dialogue,y8_e013.ogg,ogg,157.13,48000,32,2,-20.59,-3.49
Dialogue,y8_e014.ogg,ogg,138.74,48000,32,2,-17.56,-0.80
Dialogue,y8_e015.ogg,ogg,180.33,48000,32,2,-19.07,-0.95
Dialogue,y8_e016.ogg,ogg,92.07,48000,32,2,-19.17,-1.88
Dialogue,y8_e017.ogg,ogg,108.98,48000,32,2,-18.85,-3.18
Dialogue,y8_e018.ogg,ogg,125.27,48000,32,2,-18.15,-3.90
Dialogue,y8_e019.ogg,ogg,67.07,48000,32,2,-20.14,-4.23
Dialogue,y8_end.ogg,ogg,267.58,48000,32,2,-15.72,-0.57
Dialogue,y8_f101.ogg,ogg,185.00,48000,32,2,-19.36,-3.78
Dialogue,y8_f201.ogg,ogg,124.43,48000,32,2,-18.60,-1.89
Dialogue,y8_f301.ogg,ogg,116.30,48000,32,2,-18.73,-1.77
Dialogue,y8_f401.ogg,ogg,115.02,48000,32,2,-19.00,-4.63
Dialogue,y8_f501.ogg,ogg,175.68,48000,32,2,-18.21,-5.86
Dialogue,y8_f601.ogg,ogg,127.43,48000,32,2,-16.37,-3.84
Dialogue,y8_f701.ogg,ogg,169.16,48000,32,2,-18.75,-3.40
