Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,al10102do_1.wav,wav,2.40,48000,16,1,-12.27,0.00
Dialogue,al10102do.wav,wav,2.38,48000,16,1,-13.08,-0.28
Dialogue,al10103go.wav,wav,2.82,48000,16,1,-10.67,-0.28
Dialogue,al10104sr.wav,wav,1.59,48000,16,1,-12.23,-0.44
Dialogue,al10105go.wav,wav,1.73,48000,16,1,-13.16,0.00
Dialogue,al10106do.wav,wav,1.74,48000,16,1,-13.24,-0.42
Dialogue,al10107sr.wav,wav,2.37,48000,16,1,-12.28,-0.43
Dialogue,al10108do.wav,wav,1.37,48000,16,1,-12.02,-0.03
Dialogue,al10109Bgo.wav,wav,1.62,48000,16,1,-12.71,-0.30
Dialogue,al10110ia.wav,wav,1.81,48000,16,1,-9.79,-0.42
Dialogue,al10111do.wav,wav,2.19,48000,16,1,-11.78,-0.42
Dialogue,al10112ia.wav,wav,7.59,48000,16,1,-11.49,-0.25
Dialogue,al10114ia.wav,wav,1.65,48000,16,1,-11.36,-0.42
Dialogue,al10115do.wav,wav,1.88,48000,16,1,-12.14,-0.44
Dialogue,al10116ia.wav,wav,7.67,48000,16,1,-13.79,-0.33
Dialogue,al10117sr.wav,wav,2.36,48000,16,1,-13.11,-0.43
Dialogue,al10118do.wav,wav,1.09,48000,16,1,-11.03,-0.34
Dialogue,al10119go.wav,wav,2.96,48000,16,1,-12.66,-0.45
Dialogue,al10120ia.wav,wav,5.15,48000,16,1,-12.74,-0.57
Dialogue,al10121go.wav,wav,3.18,48000,16,1,-14.01,-0.52
Dialogue,al10122ia.wav,wav,1.02,48000,16,1,-9.48,-0.36
Dialogue,al10201sr.wav,wav,2.39,48000,16,1,-13.08,-0.41
Dialogue,al10202Bia.wav,wav,0.83,48000,16,1,-10.00,-0.43
Dialogue,al10202Cia.wav,wav,0.89,48000,16,1,-11.10,-0.42
Dialogue,al10202sr.wav,wav,0.98,48000,16,1,-13.76,-0.38
Dialogue,al10203Aia.wav,wav,4.64,48000,16,1,-9.62,-0.41
Dialogue,al10401sr.wav,wav,1.10,48000,16,1,-14.62,-0.46
Dialogue,al10402js.wav,wav,3.00,48000,16,1,-12.26,-0.42
Dialogue,al10403do.wav,wav,1.89,48000,16,1,-13.26,-0.35
Dialogue,al10404Ajs.wav,wav,1.77,48000,16,1,-17.44,-1.83
Dialogue,al10404js.wav,wav,3.10,48000,16,1,-14.39,-0.52
Dialogue,al10405js.wav,wav,4.18,48000,16,1,-14.61,-0.51
Dialogue,al10406sr.wav,wav,1.81,48000,16,1,-14.11,-0.50
Dialogue,al10409js.wav,wav,2.67,48000,16,1,-15.35,-0.63
Dialogue,al10410go.wav,wav,2.29,48000,16,1,-12.90,-0.43
Dialogue,al10411js.wav,wav,3.26,48000,16,1,-15.77,-0.43
Dialogue,al10412do.wav,wav,3.40,48000,16,1,-13.43,-0.31
Dialogue,al10413js.wav,wav,1.46,48000,16,1,-14.36,-0.67
Dialogue,al10417js.wav,wav,4.10,48000,16,1,-12.28,-0.30
Dialogue,al10418ia.wav,wav,2.84,48000,16,1,-12.45,-0.41
Dialogue,al10419Ajs.wav,wav,0.91,48000,16,1,-18.22,-0.44
Dialogue,al10421sr.wav,wav,2.60,48000,16,1,-13.21,-0.42
Dialogue,al10422sr.wav,wav,1.42,48000,16,1,-17.77,-0.49
Dialogue,al10423go.wav,wav,2.39,48000,16,1,-15.18,-0.49
Dialogue,al10425go.wav,wav,6.01,48000,16,1,-14.26,-1.55
Dialogue,al10501dl.wav,wav,1.95,48000,16,1,-12.89,-0.47
Dialogue,al10502Aab.wav,wav,1.18,48000,16,1,-15.84,-0.26
Dialogue,al10502ad.wav,wav,0.73,48000,16,1,-11.15,-0.49
Dialogue,al10503dl.wav,wav,1.47,48000,16,1,-11.97,-0.42
Dialogue,al10603ad.wav,wav,2.13,48000,16,1,-14.05,-0.43
Dialogue,al10604ad.wav,wav,1.60,48000,16,1,-13.91,-0.50
Dialogue,al10605dl.wav,wav,0.73,48000,16,1,-17.05,-0.43
Dialogue,al10606ad.wav,wav,0.91,48000,16,1,-11.53,-0.43
Dialogue,al10607Aab.wav,wav,0.52,48000,16,1,-16.57,-0.31
Dialogue,al10607ad.wav,wav,3.63,48000,16,1,-13.07,-0.43
