Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,ad00at03.wav,wav,0.56,22050,16,1,-8.32,-0.02
Dialogue,ar00at02.wav,wav,0.44,22050,16,1,-11.20,-0.01
Dialogue,ar00at03.wav,wav,0.54,22050,16,1,-11.35,-0.01
Dialogue,be00at00.wav,wav,0.42,22050,16,1,-8.11,-0.31
Dialogue,be00at02.wav,wav,1.25,22050,16,1,-8.53,-0.19
Dialogue,ge01at00.wav,wav,0.67,22050,16,1,-8.02,-0.03
Dialogue,ge01ex03.wav,wav,0.69,22050,16,1,-8.07,-0.24
Dialogue,ge01ma01.wav,wav,0.20,22050,16,1,-7.73,-0.03
Dialogue,ge01ma04.wav,wav,0.25,22050,16,1,-8.06,-0.25
Dialogue,go00at00.wav,wav,0.48,22050,16,1,-6.59,0.00
Dialogue,go00at01.wav,wav,0.78,22050,16,1,-7.54,0.00
Dialogue,go00re03.wav,wav,0.86,22050,16,1,-6.92,0.00
Dialogue,jc00at00.wav,wav,0.43,22050,16,1,-10.50,-0.05
Dialogue,jc00at01.wav,wav,0.33,22050,16,1,-10.26,-0.34
Dialogue,ku00at00.wav,wav,0.35,22050,16,1,-8.90,-0.01
Dialogue,ku00at01.wav,wav,0.44,22050,16,1,-7.91,0.00
Dialogue,mm02ex20.wav,wav,0.51,22050,16,1,-8.93,-0.93
Dialogue,ms02at00.wav,wav,0.28,22050,16,1,-10.83,0.00
Dialogue,ms02at01.wav,wav,0.36,22050,16,1,-11.97,-0.13
Dialogue,ms02ex04.wav,wav,1.13,22050,16,1,-8.09,0.00
Dialogue,pp02at01.wav,wav,0.36,22050,16,1,-13.43,-0.10
Dialogue,pp02at02.wav,wav,0.65,22050,16,1,-9.71,0.00
Sound Effect,se_00000.wav,wav,1.31,22050,16,1,-15.44,-0.51
Sound Effect,se_00001.wav,wav,1.29,22050,16,1,-9.06,-0.27
Sound Effect,se_00025.wav,wav,0.72,22050,16,1,-11.17,0.00
Sound Effect,se_00031.wav,wav,0.08,22050,16,1,-17.57,0.00
Sound Effect,se_00032.wav,wav,0.08,22050,16,1,-19.33,0.00
